Nome do funcionário,IDFuncionario,IDCasado,IDStatusConjulgal,IDGenero,IDStatusFuncionario,IDepartamento,IDPontuacaoDesempenho,IDRecrutamentoDiversidade,Salario,IDesligado,IDCargo,Cargo,Estado,CEP,ANIV,Sexo,EstadoCivil,Cidadania,Latino,Raca,Data Contratação,Data Rescisão,MotivRecisao,SituaçãoEmprego,Coluna1,Nome Gestor,IDGestor,Fonte de recrutamento,Fonte de recrutamento2,Avaliacao Desempenho,Pesquisa Engajamento,Satisfação Funcionario,Contagem de Projetos Especiais,DataUltimoFeedback,UltimoAtradoUltimos30dias,Ausências
"Adinolfi, Wilson  K",10026,0,0,1,1,5,4,0,62506,0,19,Técnico de Produção I,MA,1960,07/10/83,H ,Solteiro,Cidadão americano,Não,Branco,7/5/2011,N/A,N/A - Ainda empregado,Ativo,Produção,Michael Albert,22,LinkedIn,LinkedIn,Excede,460,5,0,1/17/2019,0,1
"Ait Sidi, Karthikeyan   ",10084,1,1,1,5,3,3,0,104437,1,27,Sr. DBA,MA,2148,05/05/75,H ,Casado,Cidadão americano,Não,Branco,3/30/2015,6/16/2016,Mudança de carreira,Rescindido voluntariamente,T.I,Simon Roup,4,Indeed,Indeed,Atende totalmente,496,3,6,2/24/2016,0,17
"Akinkuolie, Sarah",10196,1,1,0,5,5,3,0,64955,1,20,Técnico de Produção II,MA,1810,09/19/88,M,Casado,Cidadão americano,Não,Branco,7/5/2011,9/24/2012,Horas,Rescindido voluntariamente,Produção,Kissy Sullivan,20,LinkedIn,LinkedIn,Atende totalmente,302,3,0,5/15/2012,0,3
"Alagbe,Trina",10088,1,1,0,1,5,3,0,64991,0,19,Técnico de Produção I,MA,1886,09/27/88,M,Casado,Cidadão americano,Não,Branco,1/7/2008,N/A,N/A - Ainda empregado,Ativo,Produção,Elijiah Gray,16,Indeed,Indeed,Atende totalmente,484,5,0,1/3/2019,0,15
"Anderson, Carol ",10069,0,2,0,5,5,3,0,50825,1,19,Técnico de Produção I,MA,2169,09/08/89,M,Divorciado,Cidadão americano,Não,Branco,7/11/2011,9/6/2016,Retorno à escola,Rescindido voluntariamente,Produção,Webster Butler,39,Pesquisa Google,Google Search,Atende totalmente,500,4,0,2/1/2016,0,2
"Anderson, Linda  ",10002,0,0,0,1,5,4,0,57568,0,19,Técnico de Produção I,MA,1844,05/22/77,M,Solteiro,Cidadão americano,Não,Branco,1/9/2012,N/A,N/A - Ainda empregado,Ativo,Produção,Amy Dunn,11,LinkedIn,LinkedIn,Excede,500,5,0,1/7/2019,0,15
"Andreola, Colby",10194,0,0,0,1,4,3,0,95660,0,24,Engenheiro de software,MA,2110,05/24/79,M,Solteiro,Cidadão americano,Não,Branco,11/10/2014,N/A,N/A - Ainda empregado,Ativo,Engenharia de Software,Alex Sweetwater,10,LinkedIn,LinkedIn,Atende totalmente,304,3,4,1/2/2019,0,19
"Athwal, Sam",10062,0,4,1,1,5,3,0,59365,0,19,Técnico de Produção I,MA,2199,02/18/83,H ,Viúva,Cidadão americano,Não,Branco,9/30/2013,N/A,N/A - Ainda empregado,Ativo,Produção,Ketsia Liebig,19,Indicação de funcionários,Employee Referral,Atende totalmente,500,4,0,2/25/2019,0,19
"Bachiochi, Linda",10114,0,0,0,3,5,3,1,47837,0,19,Técnico de Produção I,MA,1902,02/11/70,M,Solteiro,Cidadão americano,Não,Negro ou afro-americano,7/6/2009,N/A,N/A - Ainda empregado,Ativo,Produção,Brannon Miller,12,Feira de Empregos de Diversidade,Diversity Job Fair,Atende totalmente,446,3,0,1/25/2019,0,4
"Bacong, Alejandro ",10250,0,2,1,1,3,3,0,50178,0,14,Suporte de TI,MA,1886,01/07/88,H ,Divorciado,Cidadão americano,Não,Branco,1/5/2015,N/A,N/A - Ainda empregado,Ativo,T.I,Peter Monroe,7,Indeed,Indeed,Atende totalmente,500,5,6,2/18/2019,0,16
"Baczenski, Rachael  ",10252,1,1,0,5,5,3,1,54670,1,19,Técnico de Produção I,MA,1902,01/12/74,M,Casado,Cidadão americano,Sim,Negro ou afro-americano,1/10/2011,1/12/2017,Outra posição,Rescindido voluntariamente,Produção,David Stanley,14,Feira de Empregos de Diversidade,Diversity Job Fair,Atende totalmente,420,4,0,1/30/2016,0,12
"Barbara, Thomas",10242,1,1,1,5,5,3,1,47211,1,19,Técnico de Produção I,MA,2062,02/21/74,H ,Casado,Cidadão americano,Sim,Negro ou afro-americano,4/2/2012,9/19/2016,infeliz,Rescindido voluntariamente,Produção,Kissy Sullivan,20,Feira de Empregos de Diversidade,Diversity Job Fair,Atende totalmente,420,3,0,5/6/2016,0,15
"Barbossa, Hector",10012,0,2,1,1,3,4,1,92328,0,9,Analista de Dados,TX,78230,07/04/88,H ,Divorciado,Cidadão americano,Não,Negro ou afro-americano,11/10/2014,N/A,N/A - Ainda empregado,Ativo,T.I,Simon Roup,4,Feira de Empregos de Diversidade,Diversity Job Fair,Excede,428,4,5,2/25/2019,0,9
"Barone, Francesco  A",10265,0,0,1,1,5,3,0,58709,0,19,Técnico de Produção I,MA,1810,07/20/83,H ,Solteiro,Cidadão americano,Não,Duas ou mais corridas,2/20/2012,N/A,N/A - Ainda empregado,Ativo,Produção,Kelley Spirea,18,Pesquisa Google,Google Search,Atende totalmente,460,4,0,2/14/2019,0,7
"Barton, Nader",10066,0,2,1,5,5,3,0,52505,1,19,Técnico de Produção I,MA,2747,07/15/77,H ,Divorciado,Cidadão americano,Não,Branco,9/24/2012,4/6/2017,Outra posição,Rescindido voluntariamente,Produção,Michael Albert,22,Aplicativo Web on-line,On-line Web application,Atende totalmente,500,5,0,3/2/2017,0,1
"Bates, Norman",10061,0,0,1,4,5,3,0,57834,1,19,Técnico de Produção I,MA,2050,10/18/81,H ,Solteiro,Cidadão americano,Não,Branco,2/21/2011,8/4/2017,assiduidade,Rescindido por justa causa,Produção,Kelley Spirea,18,Pesquisa Google,Google Search,Atende totalmente,500,4,0,4/5/2017,0,20
"Beak, Kimberly  ",10023,1,1,0,2,5,4,0,70131,0,20,Técnico de Produção II,MA,2145,04/17/66,M,Casado,Cidadão americano,Não,Branco,7/21/2016,N/A,N/A - Ainda empregado,Ativo,Produção,Kelley Spirea,18,Indicação de funcionários,Employee Referral,Excede,440,3,0,1/14/2019,0,16
"Beatrice, Courtney ",10055,0,0,0,1,5,3,0,59026,0,19,Técnico de Produção I,MA,1915,10/27/70,M,Solteiro,Não cidadão elegível,Não,Branco,4/4/2011,N/A,N/A - Ainda empregado,Ativo,Produção,Elijiah Gray,16,Pesquisa Google,Google Search,Atende totalmente,500,5,0,1/14/2019,0,12
"Becker, Renee",10245,0,0,0,4,3,3,0,110000,1,8,Administrador de Banco de Dados,MA,2026,04/04/86,M,Solteiro,Cidadão americano,Sim,Branco,7/7/2014,9/12/2015,desempenho,Rescindido por justa causa,T.I,Simon Roup,4,Pesquisa Google,Google Search,Atende totalmente,450,4,5,1/15/2015,0,8
"Becker, Scott",10277,0,0,1,3,5,3,0,53250,0,19,Técnico de Produção I,MA,2452,04/06/79,H ,Solteiro,Cidadão americano,Não,Asiático,7/8/2013,N/A,N/A - Ainda empregado,Ativo,Produção,Webster Butler,,LinkedIn,LinkedIn,Atende totalmente,420,4,0,1/11/2019,0,13
"Bernstein, Sean",10046,0,0,1,1,5,3,0,51044,0,19,Técnico de Produção I,MA,2072,12/22/70,H ,Solteiro,Cidadão americano,Sim,Branco,4/2/2012,N/A,N/A - Ainda empregado,Ativo,Produção,Amy Dunn,11,Pesquisa Google,Google Search,Atende totalmente,500,3,0,1/14/2019,0,13
"Biden, Lowan  M",10226,0,2,0,1,5,3,0,64919,0,19,Técnico de Produção I,MA,2027,12/27/58,M,Divorciado,Cidadão americano,Não,Asiático,8/19/2013,N/A,N/A - Ainda empregado,Ativo,Produção,Ketsia Liebig,19,Indeed,Indeed,Atende totalmente,420,3,0,1/10/2019,0,2
